Identyfikator zbioru danych;Organ zgłaszający;TERYT;Usługa pobierania;01.01.1900
PL.PZGiK.230;Starosta Legnicki;0209;https://legnicki-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.231;Prezydent Miasta Rybnika;2473;https://geodeta.gpue.rybnik.eu/rybnik-egib;01.01.1900
PL.PZGiK.232;Starosta Staszowski;2612;https://staszow.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.233;Starosta Powiatu Żyrardowskiego;1438;https://ikerg.powiat-zyrardowski.pl/zyrardow-egib;01.01.1900
PL.PZGiK.234;Prezydent Miasta Koszalina;3261;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/3261;01.01.1900
PL.PZGiK.235;Prezydent Olsztyna;2862;https://webewidwms.olsztyn.eu/iip/ows;01.01.1900
PL.PZGiK.236;Starosta Powiatu Chojnickiego;2202;https://chojnicki-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.237;Prezydent Miasta Leszna;3063;https://imapa.leszno.pl/mleszno-egib;01.01.1900
PL.PZGiK.239;Prezydent Miasta Siemianowice Śląskie;2474;https://siemianowice.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.240;Starosta Powiatu Nowodworskiego;1414;http://nowodworski.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.241;Starosta Płoński;1420;https://plonski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.242;Starosta Przasnyski;1422;https://przasnysz.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.243;Starosta Łowicki;1005;https://lowicz.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.244;Starosta Średzki;0218;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/0218;01.01.1900
PL.PZGiK.245;Starosta Powiatu Wyszkowskiego;1435;https://powiat-wyszkowski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.246;Starosta Powiatu Grodziskiego;1405;https://imapa.podgik-grodziskm.pl/grodziski-egib;01.01.1900
